TOA5,CR1000_BigSky_WFork,CR1000,25170,CR1000.Std.16,CPU:WestFork_stage_cond_temp_60sec.CR1,56826,WF
TIMESTAMP,RECORD,Batt_Volt_Avg,AirTemp_Avg,H20Dist_Avg,H20Cond_Avg,H20Temp_Avg,Ct_Avg,Stage_Avg,AirTemp_SMP,H20Dist_SMP,Stage_SMP,H20Cond_SMP,Ct_SMP,H20Temp_SMP
TS,RN,Volts,Deg C,meters,mS/cm,Deg C,mS/cm,meters,Deg C,meters,meters,mS/cm,mS/cm,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp
2011-08-18 06:30:00,31135,12.78,3.297951,1.773779,0.284413,8.825358,0.169406,0.3262213,3.283203,1.772558,0.3274422,0.2843771,0.16863,8.719208
2011-08-18 07:00:00,31136,12.79,2.900311,1.773169,0.285426,8.609786,0.1684703,0.3268308,2.282806,1.774368,0.3256316,0.2864897,0.1681682,8.479828
2011-08-18 07:30:00,31137,12.88,2.939152,1.772828,0.2863746,8.407972,0.1675858,0.3271721,3.263763,1.775513,0.3244866,0.2864685,0.1670151,8.320557
2011-08-18 08:00:00,31138,13.15,4.053758,1.772167,0.2863075,8.253233,0.1664394,0.3278331,5.427155,1.775379,0.3246211,0.2862785,0.1659789,8.191254
2011-08-18 08:30:00,31139,13.68,5.7092,1.77429,0.2856177,8.184358,0.1655466,0.3257102,5.329346,1.776077,0.3239231,0.2845696,0.1649145,8.180908
2011-08-18 09:00:00,31140,14.06,7.247901,1.773884,0.2848938,8.211168,0.1653173,0.3261155,8.626495,1.770309,0.3296905,0.2832609,0.1651105,8.315674
2011-08-18 09:30:00,31141,14.53,10.74111,1.777508,0.2827912,8.414496,0.1655343,0.3224917,12.98154,1.781891,0.3181093,0.2815683,0.1660282,8.586212
2011-08-18 10:00:00,31142,14.3,14.73085,1.781867,0.2798481,8.807234,0.1665578,0.3181332,15.98331,1.780925,0.3190753,0.2788547,0.1673468,9.004883
2011-08-18 10:30:00,31143,14.04,17.80204,1.783275,0.2766888,9.309373,0.1681494,0.3167247,19.10962,1.782252,0.317748,0.2752919,0.169189,9.583221
2011-08-18 11:00:00,31144,13.9,19.73861,1.783977,0.2732368,9.870486,0.1698843,0.3160225,20.07529,1.784158,0.315842,0.2725125,0.1709233,10.0885
2011-08-18 11:30:00,31145,13.86,21.29249,1.783303,0.2701069,10.48901,0.1721153,0.3166965,21.87531,1.778193,0.3218064,0.2693208,0.1732405,10.72998
2011-08-18 12:00:00,31146,13.82,22.64771,1.780519,0.267711,11.13147,0.174889,0.3194807,22.42862,1.776739,0.3232604,0.2666647,0.1755582,11.33392
